Student_ID,Assigned_Cluster
Student_1313,3
Student_1314,0
Student_1315,3
Student_1316,1
Student_1317,3
Student_1318,4
Student_1319,1
Student_132,3
Student_1320,1
Student_1321,1
Student_1322,4
Student_1323,3
Student_1324,2
Student_1325,4
Student_1326,4
Student_1327,2
Student_1328,3
Student_1329,1
Student_133,4
Student_1330,3
Student_1331,2
Student_1332,2
Student_1333,0
Student_1334,4
Student_1335,0
Student_1336,2
Student_1337,1
Student_1338,4
Student_1339,2
Student_134,3
Student_1340,4
Student_1341,4
Student_1342,4
Student_1343,3
Student_1344,2
Student_1345,4
Student_1346,3
Student_1347,3
Student_1348,4
Student_1349,3
Student_135,2
Student_1350,2
Student_1351,3
Student_1352,3
Student_1353,4
Student_1354,2
Student_1355,4
Student_1356,2
Student_1357,4
Student_1358,3
Student_1359,0
Student_136,2
Student_1360,0
Student_1361,3
Student_1362,0
Student_1363,0
Student_1364,0
Student_1365,1
Student_1366,1
Student_1367,0
Student_1368,3
Student_1369,1
Student_137,3
Student_1370,1
Student_1371,1
Student_1372,2
Student_1373,2
Student_1374,0
Student_1375,2
Student_1376,1
Student_1377,3
Student_1378,0
Student_1379,2
Student_138,2
Student_1380,2
Student_1381,4
Student_1382,4
Student_1383,3
Student_1384,4
Student_1385,4
Student_1386,4
Student_1387,3
Student_1388,2
Student_1389,3
Student_139,2
Student_1390,1
Student_1391,3
Student_1392,2
Student_1393,1
Student_1394,1
Student_1395,2
Student_1396,3
Student_1397,1
Student_1398,2
Student_1399,4
Student_14,3
Student_140,3
Student_1400,0
Student_1401,0
Student_1402,3
Student_1403,2
Student_1404,1
Student_1405,0
Student_1406,4
Student_1407,1
Student_1408,3
Student_1409,1
Student_141,3
Student_1410,2
Student_1411,2
Student_1412,4
Student_142,0
Student_143,2
Student_144,3
Student_145,1
Student_146,0
Student_147,0
Student_148,1
Student_149,3
Student_15,2
Student_150,3
Student_151,4
Student_152,4
Student_153,3
Student_154,3
Student_155,2
Student_156,3
Student_157,2
Student_158,2
Student_159,1
Student_16,3
Student_160,2
Student_161,1
Student_162,2
Student_163,0
Student_164,3
Student_165,2
Student_166,1
Student_167,4
Student_168,2
Student_169,3
Student_17,4
Student_170,3
Student_171,3
Student_172,1
Student_173,1
Student_174,4
Student_175,3
Student_176,4
Student_177,3
Student_178,3
Student_179,2
Student_18,1
Student_180,2
Student_181,4
Student_182,2
Student_183,3
Student_184,3
Student_185,4
Student_186,0
Student_187,3
Student_188,1
Student_189,3
Student_19,1
Student_190,1
Student_191,3
Student_192,1
Student_193,3
Student_194,1
Student_195,3
Student_196,3
Student_197,2
Student_198,4
Student_199,1
Student_2,2
Student_20,4
Student_200,2
Student_201,3
Student_202,4
Student_203,3
Student_204,3
Student_205,0
Student_206,4
Student_207,2
Student_208,3
Student_209,0
Student_21,3
Student_210,3
Student_211,3
Student_212,2
Student_213,2
Student_214,2
Student_215,3
Student_216,1
Student_217,3
Student_218,3
Student_219,2
Student_22,3
Student_220,1
Student_221,2
Student_222,2
Student_223,0
Student_224,2
Student_225,3
Student_226,0
Student_227,3
Student_228,2
Student_229,3
Student_23,4
Student_230,1
Student_231,2
Student_232,4
Student_233,4
Student_234,2
Student_235,2
Student_236,3
Student_237,4
Student_238,3
Student_239,1
Student_24,2
Student_240,2
Student_241,2
Student_242,2
Student_243,3
Student_244,1
Student_245,2
Student_246,4
Student_247,4
Student_248,4
Student_249,3
Student_25,4
Student_250,4
Student_251,4
Student_252,1
Student_253,2
Student_254,2
Student_255,1
Student_256,3
Student_257,4
Student_258,4
Student_259,4
Student_26,3
Student_260,1
Student_261,2
Student_262,4
Student_263,2
Student_264,3
Student_265,3
Student_266,4
Student_267,3
Student_268,4
Student_269,2
Student_27,4
Student_270,4
Student_271,0
Student_272,2
Student_273,1
Student_274,4
Student_275,3
Student_276,4
Student_277,2
Student_278,3
Student_279,3
Student_28,4
Student_280,3
Student_281,1
Student_282,4
Student_283,4
Student_284,4
Student_285,3
Student_286,1
Student_287,0
Student_288,4
Student_289,4
Student_29,1
Student_290,1
Student_291,0
Student_292,2
Student_293,3
Student_294,2
Student_295,2
Student_296,4
Student_297,3
Student_298,2
Student_299,3
Student_3,0
Student_30,3
Student_300,4
Student_301,3
Student_302,3
Student_303,0
Student_304,3
Student_305,1
Student_306,4
Student_307,2
Student_308,3
Student_309,3
Student_31,3
Student_310,3
Student_311,3
Student_312,3
Student_313,0
Student_314,3
Student_315,3
Student_316,2
Student_317,4
Student_318,0
Student_319,2
Student_32,1
Student_320,1
Student_321,2
Student_322,1
Student_323,0
Student_324,4
Student_325,3
Student_326,0
Student_327,1
Student_328,3
Student_329,3
Student_33,0
Student_330,4
Student_331,4
Student_332,2
Student_333,2
Student_334,3
Student_335,0
Student_336,2
Student_337,0
Student_338,1
Student_339,4
Student_34,0
Student_340,4
Student_341,0
Student_342,2
Student_343,2
Student_344,2
Student_345,3
Student_346,3
Student_347,4
Student_348,4
Student_349,3
Student_35,1
Student_350,1
Student_351,3
Student_352,0
Student_353,0
Student_354,2
Student_355,2
Student_356,2
Student_357,2
Student_358,1
Student_359,0
Student_36,2
Student_360,0
Student_361,3
Student_362,2
Student_363,2
Student_364,2
Student_365,2
Student_366,3
Student_367,3
Student_368,2
Student_369,0
Student_37,4
Student_370,0
Student_371,3
Student_372,4
Student_373,1
Student_374,2
Student_375,3
Student_376,0
Student_377,3
Student_378,3
Student_379,1
Student_38,1
Student_380,4
Student_381,0
Student_382,2
Student_383,3
Student_384,4
Student_385,4
Student_386,3
Student_387,0
Student_388,2
Student_389,3
Student_39,2
Student_390,2
Student_391,3
Student_392,2
Student_393,3
Student_394,0
Student_395,3
Student_396,3
Student_397,3
Student_398,0
Student_399,2
Student_4,3
Student_40,4
Student_400,4
Student_401,2
Student_402,2
Student_403,2
Student_404,4
Student_405,0
Student_406,4
Student_407,1
Student_408,4
Student_409,1
Student_41,1
Student_410,2
Student_411,2
Student_412,4
Student_413,3
Student_414,3
Student_415,4
Student_416,3
Student_417,0
Student_418,3
Student_419,4
Student_42,4
Student_420,3
Student_421,2
Student_422,3
Student_423,4
Student_424,2
Student_425,3
Student_426,4
Student_427,4
Student_428,3
Student_429,3
Student_43,1
Student_430,4
Student_431,3
Student_432,1
Student_433,2
Student_434,2
Student_435,3
Student_436,2
Student_437,3
Student_438,3
Student_439,2
Student_44,2
Student_440,3
Student_441,2
Student_442,0
Student_443,3
Student_444,2
Student_445,3
Student_446,2
Student_447,4
Student_448,2
Student_449,3
Student_45,2
Student_450,2
Student_451,1
Student_452,1
Student_453,4
Student_454,2
Student_455,2
Student_456,4
Student_457,2
Student_458,4
Student_459,0
Student_46,4
Student_460,2
Student_461,4
Student_462,0
Student_463,2
Student_464,4
Student_465,4
Student_466,4
Student_467,2
Student_468,2
Student_469,2
Student_47,2
Student_470,2
Student_471,4
Student_472,2
Student_473,2
Student_474,4
Student_475,3
Student_476,0
Student_477,2
Student_478,2
Student_479,2
Student_48,2
Student_480,3
Student_481,0
Student_482,1
Student_483,2
Student_484,0
Student_485,2
Student_486,1
Student_487,0
Student_488,2
Student_489,2
Student_49,0
Student_490,3
Student_491,4
Student_492,0
Student_493,4
Student_494,1
Student_495,3
Student_496,2
Student_497,2
Student_498,2
Student_499,3
Student_5,0
Student_50,0
Student_500,2
Student_501,0
Student_502,3
Student_503,0
Student_504,3
Student_505,2
Student_506,3
Student_507,3
Student_508,3
Student_509,2
Student_51,3
Student_510,1
Student_511,2
Student_512,3
Student_513,2
Student_514,2
Student_515,1
Student_516,0
Student_517,2
Student_518,2
Student_519,3
Student_52,3
Student_520,0
Student_521,4
Student_522,4
Student_523,3
Student_524,4
Student_525,0
Student_526,2
Student_527,1
Student_528,4
Student_529,3
Student_53,4
Student_530,1
Student_531,4
Student_532,2
Student_533,4
Student_534,0
Student_535,4
Student_536,2
Student_537,3
Student_538,3
Student_539,1
Student_54,4
Student_540,0
Student_541,4
Student_542,2
Student_543,3
Student_544,4
Student_545,0
Student_546,2
Student_547,0
Student_548,3
Student_549,3
Student_55,3
Student_550,3
Student_551,4
Student_552,4
Student_553,2
Student_554,3
Student_555,1
Student_556,2
Student_557,4
Student_558,3
Student_559,2
Student_56,2
Student_560,3
Student_561,0
Student_562,4
Student_563,4
Student_564,3
Student_565,1
Student_566,3
Student_567,4
Student_568,4
Student_569,3
Student_57,3
Student_570,0
Student_571,2
Student_572,3
Student_573,4
Student_574,1
Student_575,4
Student_576,3
Student_577,1
Student_578,0
Student_579,3
Student_58,4
Student_580,1
Student_581,3
Student_582,1
Student_583,4
Student_584,4
Student_585,3
Student_586,2
Student_587,3
Student_588,0
Student_589,4
Student_59,1
Student_590,3
Student_591,4
Student_592,3
Student_593,3
Student_594,2
Student_595,3
Student_596,3
Student_597,4
Student_598,3
Student_599,3
Student_6,0
Student_60,0
Student_600,4
Student_601,3
Student_602,0
Student_603,1
Student_604,4
Student_605,3
Student_606,4
Student_607,4
Student_608,4
Student_609,0
Student_61,3
Student_610,2
Student_611,2
Student_612,3
Student_613,3
Student_614,3
Student_615,0
Student_616,4
Student_617,4
Student_618,2
Student_619,0
Student_62,1
Student_620,4
Student_621,2
Student_622,2
Student_623,3
Student_624,3
Student_625,2
Student_626,3
Student_627,4
Student_628,2
Student_629,2
Student_63,4
Student_630,0
Student_631,4
Student_632,2
Student_633,2
Student_634,0
Student_635,3
Student_636,3
Student_637,1
Student_638,2
Student_639,4
Student_64,3
Student_640,2
Student_641,3
Student_642,3
Student_643,4
Student_644,3
Student_645,3
Student_646,2
Student_647,3
Student_648,3
Student_649,2
Student_65,4
Student_650,3
Student_651,4
Student_652,0
Student_653,4
Student_654,3
Student_655,2
Student_656,3
Student_657,3
Student_658,3
Student_659,3
Student_66,3
Student_660,2
Student_661,2
Student_662,4
Student_663,3
Student_664,3
Student_665,3
Student_666,2
Student_667,4
Student_668,3
Student_669,4
Student_67,0
Student_670,2
Student_671,2
Student_672,4
Student_673,3
Student_674,0
Student_675,2
Student_676,2
Student_677,0
Student_678,3
Student_679,2
Student_68,1
Student_680,4
Student_681,2
Student_682,3
Student_683,3
Student_684,2
Student_685,0
Student_686,4
Student_687,0
Student_688,3
Student_689,4
Student_69,2
Student_690,4
Student_691,0
Student_692,4
Student_693,2
Student_694,3
Student_695,2
Student_696,2
Student_697,2
Student_698,1
Student_699,4
Student_7,3
Student_70,2
Student_700,3
Student_701,3
Student_702,4
Student_703,3
Student_704,3
Student_705,4
Student_706,0
Student_707,0
Student_708,4
Student_709,4
Student_71,0
Student_710,4
Student_711,2
Student_712,2
Student_713,3
Student_714,2
Student_715,3
Student_716,0
Student_717,0
Student_718,0
Student_719,2
Student_72,0
Student_720,4
Student_721,0
Student_722,3
Student_723,0
Student_724,3
Student_725,1
Student_726,2
Student_727,0
Student_728,2
Student_729,2
Student_73,4
Student_730,4
Student_731,0
Student_732,0
Student_733,2
Student_734,4
Student_735,4
Student_736,3
Student_737,3
Student_738,3
Student_739,3
Student_74,3
Student_740,3
Student_741,4
Student_742,4
Student_743,0
Student_744,4
Student_745,2
Student_746,3
Student_747,2
Student_748,3
Student_749,2
Student_75,0
Student_750,3
Student_751,3
Student_752,2
Student_753,3
Student_754,4
Student_755,3
Student_756,4
Student_757,2
Student_758,2
Student_759,2
Student_76,4
Student_760,2
Student_761,1
Student_762,0
Student_763,4
Student_764,1
Student_765,3
Student_766,2
Student_767,4
Student_768,2
Student_769,3
Student_77,3
Student_770,3
Student_771,2
Student_772,0
Student_773,3
Student_774,4
Student_775,3
Student_776,1
Student_777,2
Student_778,4
Student_779,3
Student_78,4
Student_780,1
Student_781,2
Student_782,2
Student_783,2
Student_784,2
Student_785,2
Student_786,0
Student_787,3
Student_788,1
Student_789,4
Student_79,4
Student_790,3
Student_791,4
Student_792,2
Student_793,2
Student_794,4
Student_795,0
Student_796,1
Student_797,3
Student_798,4
Student_799,3
Student_8,0
Student_80,2
Student_800,3
Student_801,3
Student_802,2
Student_803,3
Student_804,2
Student_805,4
Student_806,4
Student_807,4
Student_808,4
Student_809,2
Student_81,1
Student_810,3
Student_811,4
Student_812,1
Student_813,2
Student_814,2
Student_815,3
Student_816,4
Student_817,2
Student_818,4
Student_819,0
Student_82,2
Student_820,0
Student_821,4
Student_822,1
Student_823,3
Student_824,3
Student_825,3
Student_826,2
Student_827,3
Student_828,2
Student_829,2
Student_83,2
Student_830,0
Student_831,2
Student_832,4
Student_833,2
Student_834,2
Student_835,2
Student_836,1
Student_837,0
Student_838,2
Student_839,1
Student_84,4
Student_840,3
Student_841,2
Student_842,3
Student_843,0
Student_844,4
Student_845,3
Student_846,4
Student_847,3
Student_848,3
Student_849,3
Student_85,2
Student_850,0
Student_851,4
Student_852,4
Student_853,4
Student_854,1
Student_855,1
Student_856,2
Student_857,3
Student_858,2
Student_859,4
Student_86,0
Student_860,3
Student_861,3
Student_862,1
Student_863,0
Student_864,3
Student_865,4
Student_866,1
Student_867,1
Student_868,0
Student_869,3
Student_87,2
Student_870,3
Student_871,1
Student_872,4
Student_873,2
Student_874,4
Student_875,0
Student_876,2
Student_877,4
Student_878,3
Student_879,0
Student_88,2
Student_880,3
Student_881,0
Student_882,3
Student_883,1
Student_884,2
Student_885,3
Student_886,2
Student_887,2
Student_888,4
Student_889,2
Student_89,2
Student_890,2
Student_891,4
Student_892,4
Student_893,1
Student_894,3
Student_895,3
Student_896,4
Student_897,4
Student_898,4
Student_899,3
Student_9,1
Student_90,4
Student_900,1
Student_901,3
Student_902,1
Student_903,4
Student_904,3
Student_905,4
Student_906,3
Student_907,2
Student_908,1
Student_909,3
Student_91,1
Student_910,2
Student_911,0
Student_912,2
Student_913,4
Student_914,3
Student_915,2
Student_916,3
Student_917,0
Student_918,2
Student_919,0
Student_92,3
Student_920,2
Student_921,2
Student_922,4
Student_923,0
Student_924,3
Student_925,2
Student_926,2
Student_927,2
Student_928,4
Student_929,3
Student_93,4
Student_930,2
Student_931,2
Student_932,2
Student_933,0
Student_934,0
Student_935,1
Student_936,3
Student_937,3
Student_938,0
Student_939,4
Student_94,2
Student_940,4
Student_941,4
Student_942,3
Student_943,1
Student_944,2
Student_945,4
Student_946,1
Student_947,2
Student_948,3
Student_949,2
Student_95,0
Student_950,3
Student_951,1
Student_952,4
Student_953,2
Student_954,3
Student_955,4
Student_956,1
Student_957,2
Student_958,1
Student_959,4
Student_96,0
Student_960,2
Student_961,3
Student_962,1
Student_963,4
Student_964,4
Student_965,4
Student_966,2
Student_967,1
Student_968,1
Student_969,3
Student_97,0
Student_970,2
Student_971,0
Student_972,4
Student_973,2
Student_974,2
Student_975,0
Student_976,3
Student_977,3
Student_978,2
Student_979,3
Student_98,2
Student_980,4
Student_981,4
Student_982,4
Student_983,1
Student_984,4
Student_985,3
Student_986,4
Student_987,1
Student_988,4
Student_989,1
Student_99,2
Student_990,0
Student_991,2
Student_992,2
Student_993,4
Student_994,4
Student_995,1
Student_996,4
Student_997,4
Student_998,2
Student_999,1
