Student_ID,BLG 101,BLG 102,BLG 112,BLG 113,BLG 202,BLG 210,BLG 212,BLG 222,BLG 223,BLG 231,BLG 242,BLG 252,BLG 311,BLG 312,BLG 317,BLG 322,BLG 335,BLG 336,BLG 337,BLG 346,BLG 351,BLG 354,BLG 368,BLG 374,BLG 411,BLG 413,BLG 433,BLG 435,BLG 438,BLG 439,BLG 440,BLG 442,BLG 443,BLG 447,BLG 448,BLG 449,BLG 450,BLG 453,BLG 454,BLG 456,BLG 458,BLG 459,BLG 460,BLG 468,BLG 475,BLG 477,BLG 478,BLG 4901,BLG 4902,EHB 211,EHB 222,EHB 311,EKO 201,FIZ 101,FIZ 101EL,FIZ 102,FIZ 102EL,ING 112A,ING 201A,KON 317,MAL 201,MAT 103,MAT 104,MAT 271,MAT 281,SNT 102,SNT 103,SNT 104,SNT 105,SNT 106,SNT 107,SNT 112,SNT 113,SNT 211,SNT 226
Öğrenci Sınıf Listesi - 2026-02-01T155128.477,2.0,3.0,2.0,2.0,1.0,1.0,1.5,1.5,3.0,2.0,2.5,2.0,1.5,1.5,1.0,1.5,1.0,1.0,0.0,4.0,3.5,2.0,0.0,3.5,2.5,2.5,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,3.5,4.0,4.0,4.0,0.0,3.0,0.0,2.5,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155130.916,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.5,3.5,3.5,3.5,4.0,4.0,3.5,3.0,3.0,3.5,3.0,3.0,0.0,4.0,3.0,0.0,3.0,2.5,3.5,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.5,4.0,3.5,3.5,3.0,4.0,3.5,4.0,0.0,4.0,0.0,3.5,3.0,3.0,4.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155133.640,3.0,3.0,1.5,2.0,2.5,0.0,2.0,3.5,2.5,2.0,3.0,2.0,1.5,1.5,2.5,3.0,3.0,2.5,0.0,0.0,1.5,3.5,2.5,3.5,2.5,2.0,3.0,1.0,0.0,2.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,4.0,1.0,1.5,2.0,2.5,3.5,3.5,3.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155136.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155138.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155141.232,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155143.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155146.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155148.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155150.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155153.436,3.0,1.0,2.5,3.0,2.0,4.0,2.0,2.0,2.0,3.5,3.0,1.5,2.0,1.0,2.5,1.5,1.0,1.0,0.0,0.0,2.5,1.0,0.0,3.5,1.5,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,3.5,2.0,1.5,2.5,2.5,3.5,4.0,3.5,4.0,0.0,3.5,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155156.023,3.5,1.0,2.0,1.5,1.0,3.0,3.0,1.5,3.0,1.5,2.0,2.5,3.5,1.0,3.0,3.0,3.0,2.5,2.5,0.0,2.0,1.5,3.5,3.0,3.0,4.0,2.0,2.5,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,4.0,3.0,4.0,2.5,3.5,2.5,2.5,0.0,3.5,0.0,0.0,3.0,2.5,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155158.843,3.5,3.0,3.5,3.0,3.5,0.0,4.0,2.5,3.5,3.0,2.5,2.5,4.0,3.5,4.0,3.5,4.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.5,0.0,0.0,0.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,3.5,3.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155201.488,3.0,2.0,2.5,3.5,4.0,4.0,3.5,3.5,2.0,2.5,3.5,2.0,3.0,4.0,2.0,2.5,3.5,4.0,3.0,0.0,4.0,1.5,0.0,4.0,2.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.0,4.0,3.5,0.0,0.0,2.5,0.0,0.0,0.0,4.0,3.0,2.0,3.0,4.0,3.5,3.5,4.0,3.0,4.0,3.0,3.5,0.0,0.0,4.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155203.927,4.0,2.0,2.5,3.0,3.0,0.0,2.5,2.5,3.0,3.5,2.5,2.0,2.5,1.5,3.0,2.5,3.5,3.0,0.0,0.0,3.0,3.5,0.0,3.0,2.0,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,1.5,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,3.0,3.5,3.0,4.0,3.0,3.0,0.0,4.0,0.0,2.5,1.5,3.0,2.5,1.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155206.236,3.5,1.0,2.0,2.0,3.0,0.0,3.0,2.5,3.5,2.5,2.5,2.0,3.0,4.0,3.0,2.5,3.5,2.5,0.0,0.0,2.5,2.0,2.5,3.5,1.5,3.5,0.0,0.0,2.5,2.5,0.0,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.5,3.0,1.5,3.0,4.0,1.5,3.0,0.0,4.0,0.0,2.0,0.0,3.0,3.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155208.634,2.5,1.5,1.5,2.5,2.5,2.0,4.0,2.5,1.5,2.0,3.0,1.0,1.0,2.0,2.5,2.5,3.0,2.5,0.0,0.0,2.0,3.5,2.5,3.5,1.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.5,2.0,2.0,4.0,3.0,4.0,0.0,3.0,0.0,3.0,2.0,2.5,4.0,3.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155211.022,2.5,1.0,0.0,4.0,2.0,3.5,2.0,4.0,3.0,3.0,3.0,2.0,1.5,4.0,2.5,2.0,2.5,1.5,2.0,0.0,3.0,2.0,0.0,1.0,3.5,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.5,3.5,3.0,2.5,3.5,4.0,2.5,4.0,0.0,4.0,0.0,0.0,2.5,2.0,3.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155213.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155215.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155218.220,0.0,3.0,1.5,2.5,2.0,2.0,3.5,2.5,3.0,2.0,1.5,2.5,3.0,1.5,2.5,3.5,2.5,1.5,0.0,0.0,2.5,1.0,4.0,3.0,4.0,2.5,0.0,2.5,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,4.0,1.5,1.5,4.0,0.0,3.0,3.5,4.0,3.5,0.0,3.5,0.0,0.0,0.0,2.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Öğrenci Sınıf Listesi - 2026-02-01T155220.752,3.0,2.0,3.0,4.0,3.0,3.5,1.0,1.5,2.0,2.5,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,4.0,3.0,0.0,3.0,2.5,0.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,3.75,4.0,1.5,2.5,4.0,3.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155223.219,0.0,0.0,3.0,4.0,2.5,0.0,3.5,2.0,2.5,2.5,2.5,3.0,2.5,4.0,4.0,4.0,3.5,2.5,0.0,0.0,2.5,3.5,4.0,3.5,3.5,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.5,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155225.633,3.0,3.0,3.5,3.5,2.0,0.0,3.5,2.0,2.5,3.0,2.0,4.0,3.0,2.5,4.0,2.5,4.0,4.0,0.0,0.0,2.0,3.5,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.0,3.0,3.5,3.5,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.5,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155227.983,0.0,3.5,3.0,3.0,3.0,0.0,2.0,2.5,3.5,3.0,4.0,3.0,1.0,1.0,1.5,2.0,3.5,2.5,0.0,0.0,3.5,3.5,0.0,3.5,2.5,2.5,3.0,0.0,0.0,0.0,3.0,3.5,3.5,0.0,0.0,0.0,0.0,3.5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,4.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.0,0.0,3.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155230.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Öğrenci Sınıf Listesi - 2026-02-01T155232.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
